,datetime,step,loss,accuracy
0,2019-06-18 22:02:42.220917,0,2.6286938,0.097
100,2019-06-18 22:02:42.929717,100,0.575068,0.9029
200,2019-06-18 22:02:43.317849,200,0.33060908,0.9293
300,2019-06-18 22:02:43.682473,300,0.25428307,0.9405
400,2019-06-18 22:02:44.058148,400,0.21244775,0.9438
500,2019-06-18 22:02:44.423561,500,0.1794237,0.9526
600,2019-06-18 22:02:44.803812,600,0.16970307,0.954
700,2019-06-18 22:02:45.172691,700,0.16295391,0.9536
800,2019-06-18 22:02:45.544548,800,0.15957361,0.9544
900,2019-06-18 22:02:45.908280,900,0.13390154,0.962
1000,2019-06-18 22:02:46.267883,1000,0.13059573,0.9624
1100,2019-06-18 22:02:46.633322,1100,0.13608804,0.9614
1200,2019-06-18 22:02:47.010754,1200,0.11418529,0.9663
1300,2019-06-18 22:02:47.377390,1300,0.12959446,0.9623
1400,2019-06-18 22:02:47.743153,1400,0.13194324,0.9611
1500,2019-06-18 22:02:48.116574,1500,0.11048639,0.9682
1600,2019-06-18 22:02:48.485551,1600,0.11311413,0.9651
1700,2019-06-18 22:02:48.850482,1700,0.101045616,0.9686
1800,2019-06-18 22:02:49.294056,1800,0.0950904,0.9708
1900,2019-06-18 22:02:49.656876,1900,0.0916915,0.9718
2000,2019-06-18 22:02:50.013057,2000,0.08862127,0.9728
2100,2019-06-18 22:02:50.388965,2100,0.08664746,0.9743
2200,2019-06-18 22:02:50.755311,2200,0.085384816,0.975
2300,2019-06-18 22:02:51.118006,2300,0.08362631,0.9753
2400,2019-06-18 22:02:51.490265,2400,0.08273519,0.9762
2500,2019-06-18 22:02:51.845407,2500,0.08117149,0.9762
2600,2019-06-18 22:02:52.197910,2600,0.0804106,0.9767
2700,2019-06-18 22:02:52.560883,2700,0.07981824,0.9765
2800,2019-06-18 22:02:52.936290,2800,0.079172716,0.9766
2900,2019-06-18 22:02:53.308884,2900,0.07866219,0.9768
3000,2019-06-18 22:02:53.683796,3000,0.0777302,0.9768
3100,2019-06-18 22:02:54.045515,3100,0.07687437,0.9774
3200,2019-06-18 22:02:54.417875,3200,0.07624752,0.9779
3300,2019-06-18 22:02:54.786533,3300,0.07545529,0.9779
3400,2019-06-18 22:02:55.161819,3400,0.07472086,0.9782
3500,2019-06-18 22:02:55.606576,3500,0.07398944,0.9785
3600,2019-06-18 22:02:55.973424,3600,0.07344127,0.9787
3700,2019-06-18 22:02:56.342363,3700,0.0737158,0.9784
3800,2019-06-18 22:02:56.701829,3800,0.07301155,0.9787
3900,2019-06-18 22:02:57.086598,3900,0.073039085,0.9792
4000,2019-06-18 22:02:57.468099,4000,0.07235716,0.9795
4100,2019-06-18 22:02:57.838754,4100,0.07184397,0.9798
4200,2019-06-18 22:02:58.202011,4200,0.070855506,0.9791
4300,2019-06-18 22:02:58.559767,4300,0.07053546,0.9797
4400,2019-06-18 22:02:58.929258,4400,0.070361644,0.9795
4500,2019-06-18 22:02:59.293928,4500,0.06982707,0.9799
4600,2019-06-18 22:02:59.654682,4600,0.0704047,0.9797
4700,2019-06-18 22:03:00.029849,4700,0.06968235,0.9802
4800,2019-06-18 22:03:00.413402,4800,0.069667056,0.9799
4900,2019-06-18 22:03:00.819814,4900,0.06923093,0.98
5000,2019-06-18 22:03:01.245929,5000,0.06888878,0.9792
5100,2019-06-18 22:03:01.677610,5100,0.06790667,0.9799
5200,2019-06-18 22:03:02.208962,5200,0.06845213,0.9803
5300,2019-06-18 22:03:02.649811,5300,0.0679125,0.98
5400,2019-06-18 22:03:03.087802,5400,0.06841964,0.98
5500,2019-06-18 22:03:03.516329,5500,0.06852162,0.9804
5600,2019-06-18 22:03:03.945090,5600,0.06799435,0.9801
5700,2019-06-18 22:03:04.374967,5700,0.06748701,0.9802
5800,2019-06-18 22:03:04.806026,5800,0.06760238,0.9798
5900,2019-06-18 22:03:05.238613,5900,0.06653306,0.9806
