,datetime,step,loss,accuracy
0,2019-06-18 22:18:45.554628,0,2.4307768,0.1048
100,2019-06-18 22:18:46.354327,100,0.9093553,0.8099
200,2019-06-18 22:18:46.749576,200,0.37928382,0.9147
300,2019-06-18 22:18:47.150321,300,0.24993557,0.9351
400,2019-06-18 22:18:47.562186,400,0.22080325,0.9412
500,2019-06-18 22:18:47.964040,500,0.19352752,0.945
600,2019-06-18 22:18:48.317447,600,0.1795707,0.9468
700,2019-06-18 22:18:48.674103,700,0.16605277,0.9525
800,2019-06-18 22:18:49.080890,800,0.1655011,0.9499
900,2019-06-18 22:18:49.462876,900,0.14668676,0.9554
1000,2019-06-18 22:18:49.840036,1000,0.14112142,0.9607
1100,2019-06-18 22:18:50.193775,1100,0.12263774,0.9639
1200,2019-06-18 22:18:50.559290,1200,0.1253369,0.9626
1300,2019-06-18 22:18:50.923920,1300,0.1238485,0.9659
1400,2019-06-18 22:18:51.288577,1400,0.122925416,0.9635
1500,2019-06-18 22:18:51.647465,1500,0.113490134,0.9658
1600,2019-06-18 22:18:52.018231,1600,0.12810344,0.9628
1700,2019-06-18 22:18:52.380937,1700,0.097544946,0.972
1800,2019-06-18 22:18:52.839972,1800,0.098095015,0.971
1900,2019-06-18 22:18:53.198111,1900,0.09295302,0.972
2000,2019-06-18 22:18:53.567948,2000,0.09012605,0.9727
2100,2019-06-18 22:18:53.934980,2100,0.08552251,0.9748
2200,2019-06-18 22:18:54.292617,2200,0.09431782,0.971
2300,2019-06-18 22:18:54.660598,2300,0.08813833,0.9742
2400,2019-06-18 22:18:55.023700,2400,0.08791499,0.9737
2500,2019-06-18 22:18:55.385591,2500,0.09458626,0.9704
2600,2019-06-18 22:18:55.741149,2600,0.090326,0.9717
2700,2019-06-18 22:18:56.104391,2700,0.08844617,0.973
2800,2019-06-18 22:18:56.464579,2800,0.0887866,0.9725
2900,2019-06-18 22:18:56.834924,2900,0.08873234,0.9743
3000,2019-06-18 22:18:57.208700,3000,0.091026284,0.9725
3100,2019-06-18 22:18:57.569609,3100,0.0890984,0.9721
3200,2019-06-18 22:18:57.933957,3200,0.082991265,0.9749
3300,2019-06-18 22:18:58.296743,3300,0.08830891,0.9728
3400,2019-06-18 22:18:58.656884,3400,0.08556511,0.9746
3500,2019-06-18 22:18:59.099561,3500,0.082589835,0.9743
3600,2019-06-18 22:18:59.478621,3600,0.08405151,0.975
3700,2019-06-18 22:18:59.847886,3700,0.076962404,0.977
3800,2019-06-18 22:19:00.225047,3800,0.073121786,0.9782
3900,2019-06-18 22:19:00.586483,3900,0.07071515,0.9791
4000,2019-06-18 22:19:00.943626,4000,0.06877351,0.9794
4100,2019-06-18 22:19:01.298111,4100,0.067330234,0.98
4200,2019-06-18 22:19:01.668730,4200,0.06553345,0.9804
4300,2019-06-18 22:19:02.039159,4300,0.06447792,0.9815
4400,2019-06-18 22:19:02.406484,4400,0.06400375,0.9809
4500,2019-06-18 22:19:02.760121,4500,0.0637253,0.9807
4600,2019-06-18 22:19:03.133739,4600,0.0625801,0.9815
4700,2019-06-18 22:19:03.496272,4700,0.062507145,0.9815
4800,2019-06-18 22:19:03.863514,4800,0.06158023,0.9815
4900,2019-06-18 22:19:04.224061,4900,0.06126145,0.9819
5000,2019-06-18 22:19:04.583174,5000,0.061626393,0.9811
5100,2019-06-18 22:19:04.972027,5100,0.060701527,0.9818
5200,2019-06-18 22:19:05.485335,5200,0.06089604,0.9814
5300,2019-06-18 22:19:05.911510,5300,0.06021994,0.9816
5400,2019-06-18 22:19:06.343592,5400,0.06019724,0.982
5500,2019-06-18 22:19:06.768242,5500,0.06073043,0.9811
5600,2019-06-18 22:19:07.201316,5600,0.06043645,0.9811
5700,2019-06-18 22:19:07.623619,5700,0.060291298,0.9812
5800,2019-06-18 22:19:08.051408,5800,0.060728587,0.9805
5900,2019-06-18 22:19:08.482671,5900,0.06026664,0.9817
