,datetime,step,loss,accuracy
0,2019-06-18 22:12:40.485138,0,2.5633059,0.0739
100,2019-06-18 22:12:41.150321,100,0.36798683,0.9006
200,2019-06-18 22:12:41.483426,200,0.26972967,0.9222
300,2019-06-18 22:12:41.816527,300,0.20589258,0.9395
400,2019-06-18 22:12:42.146852,400,0.18148634,0.9453
500,2019-06-18 22:12:42.486903,500,0.15619569,0.953
600,2019-06-18 22:12:42.826815,600,0.16535243,0.951
700,2019-06-18 22:12:43.154929,700,0.15545645,0.9539
800,2019-06-18 22:12:43.496517,800,0.1417768,0.9564
900,2019-06-18 22:12:43.848767,900,0.12689745,0.9603
1000,2019-06-18 22:12:44.189386,1000,0.13177702,0.9613
1100,2019-06-18 22:12:44.546297,1100,0.12460298,0.9622
1200,2019-06-18 22:12:44.877997,1200,0.12075473,0.9636
1300,2019-06-18 22:12:45.213728,1300,0.12141302,0.9629
1400,2019-06-18 22:12:45.548347,1400,0.130191,0.9595
1500,2019-06-18 22:12:45.888913,1500,0.11397604,0.9664
1600,2019-06-18 22:12:46.221031,1600,0.11401477,0.9672
1700,2019-06-18 22:12:46.559697,1700,0.09191687,0.9734
1800,2019-06-18 22:12:46.985055,1800,0.08677027,0.9735
1900,2019-06-18 22:12:47.322666,1900,0.08107804,0.9749
2000,2019-06-18 22:12:47.667162,2000,0.08011942,0.9753
2100,2019-06-18 22:12:48.018261,2100,0.08529927,0.9747
2200,2019-06-18 22:12:48.351309,2200,0.080725186,0.9765
2300,2019-06-18 22:12:48.691086,2300,0.083365776,0.975
2400,2019-06-18 22:12:49.029980,2400,0.08325909,0.9755
2500,2019-06-18 22:12:49.362818,2500,0.07967399,0.9749
2600,2019-06-18 22:12:49.707150,2600,0.08343256,0.9761
2700,2019-06-18 22:12:50.039550,2700,0.0811424,0.975
2800,2019-06-18 22:12:50.368667,2800,0.07828227,0.9767
2900,2019-06-18 22:12:50.720430,2900,0.07969914,0.9767
3000,2019-06-18 22:12:51.094148,3000,0.08165078,0.9751
3100,2019-06-18 22:12:51.456122,3100,0.086312756,0.9737
3200,2019-06-18 22:12:51.836791,3200,0.078414395,0.9759
3300,2019-06-18 22:12:52.200348,3300,0.078615226,0.9773
3400,2019-06-18 22:12:52.570733,3400,0.07845342,0.9761
3500,2019-06-18 22:12:53.023763,3500,0.07375889,0.9783
3600,2019-06-18 22:12:53.383333,3600,0.070283316,0.9795
3700,2019-06-18 22:12:53.747098,3700,0.066983655,0.9798
3800,2019-06-18 22:12:54.106146,3800,0.06563283,0.9802
3900,2019-06-18 22:12:54.579766,3900,0.064344585,0.9811
4000,2019-06-18 22:12:55.348269,4000,0.065443546,0.9799
4100,2019-06-18 22:12:55.767596,4100,0.06454908,0.9804
4200,2019-06-18 22:12:56.159092,4200,0.06262103,0.981
4300,2019-06-18 22:12:56.510593,4300,0.062659994,0.9807
4400,2019-06-18 22:12:56.875379,4400,0.060564827,0.9817
4500,2019-06-18 22:12:57.239558,4500,0.060588818,0.982
4600,2019-06-18 22:12:57.581481,4600,0.059888642,0.9824
4700,2019-06-18 22:12:57.937655,4700,0.05991568,0.982
4800,2019-06-18 22:12:58.290194,4800,0.06022601,0.9817
4900,2019-06-18 22:12:58.627553,4900,0.060147338,0.9818
5000,2019-06-18 22:12:58.964129,5000,0.06125381,0.9804
5100,2019-06-18 22:12:59.297065,5100,0.05957857,0.9813
5200,2019-06-18 22:12:59.747471,5200,0.05839776,0.9823
5300,2019-06-18 22:13:00.132925,5300,0.059261464,0.9816
5400,2019-06-18 22:13:00.530515,5400,0.058751427,0.9818
5500,2019-06-18 22:13:00.935932,5500,0.059319336,0.982
5600,2019-06-18 22:13:01.342138,5600,0.05771463,0.9821
5700,2019-06-18 22:13:01.752292,5700,0.05742403,0.9824
5800,2019-06-18 22:13:02.157720,5800,0.057561073,0.982
5900,2019-06-18 22:13:02.561790,5900,0.05658462,0.982
