,datetime,step,loss,accuracy
0,2019-06-18 21:58:14.428482,0,2.591442,0.0775
100,2019-06-18 21:58:16.438378,100,0.32559136,0.9127
200,2019-06-18 21:58:18.059104,200,0.23136753,0.9317
300,2019-06-18 21:58:19.704120,300,0.25738427,0.9211
400,2019-06-18 21:58:21.315189,400,0.17840299,0.946
500,2019-06-18 21:58:22.891564,500,0.18140233,0.9471
600,2019-06-18 21:58:24.517569,600,0.15143076,0.9545
700,2019-06-18 21:58:26.127122,700,0.1460635,0.9574
800,2019-06-18 21:58:27.720154,800,0.13101372,0.9622
900,2019-06-18 21:58:29.305329,900,0.1323759,0.9584
1000,2019-06-18 21:58:30.907981,1000,0.12830295,0.9604
1100,2019-06-18 21:58:32.517506,1100,0.13688129,0.9582
1200,2019-06-18 21:58:34.124103,1200,0.12146757,0.9655
1300,2019-06-18 21:58:35.734351,1300,0.11940987,0.964
1400,2019-06-18 21:58:37.356996,1400,0.115325965,0.9636
1500,2019-06-18 21:58:39.033828,1500,0.10728608,0.9669
1600,2019-06-18 21:58:40.659885,1600,0.09890288,0.9693
1700,2019-06-18 21:58:42.273785,1700,0.089812316,0.9724
1800,2019-06-18 21:58:43.984372,1800,0.08732306,0.9739
1900,2019-06-18 21:58:45.574977,1900,0.086773634,0.9746
2000,2019-06-18 21:58:47.162042,2000,0.079967685,0.9753
2100,2019-06-18 21:58:48.885099,2100,0.08282128,0.9755
2200,2019-06-18 21:58:50.546813,2200,0.08268898,0.9741
2300,2019-06-18 21:58:52.180746,2300,0.08400348,0.9741
2400,2019-06-18 21:58:53.899002,2400,0.0794729,0.9754
2500,2019-06-18 21:58:55.528439,2500,0.08081448,0.9748
2600,2019-06-18 21:58:57.225763,2600,0.07666529,0.9765
2700,2019-06-18 21:58:58.895338,2700,0.071499825,0.9802
2800,2019-06-18 21:59:00.515719,2800,0.07403453,0.9765
2900,2019-06-18 21:59:02.109779,2900,0.07525347,0.9776
3000,2019-06-18 21:59:03.749678,3000,0.073841736,0.9774
3100,2019-06-18 21:59:05.326556,3100,0.076206796,0.977
3200,2019-06-18 21:59:06.889783,3200,0.0756618,0.9777
3300,2019-06-18 21:59:08.449222,3300,0.0723304,0.9772
3400,2019-06-18 21:59:10.010167,3400,0.06712288,0.9807
3500,2019-06-18 21:59:11.657615,3500,0.06988141,0.9788
3600,2019-06-18 21:59:13.224673,3600,0.07124242,0.9791
3700,2019-06-18 21:59:14.783087,3700,0.06691337,0.9808
3800,2019-06-18 21:59:16.344520,3800,0.0625256,0.9807
3900,2019-06-18 21:59:17.902718,3900,0.060418382,0.981
4000,2019-06-18 21:59:19.462271,4000,0.059899073,0.9815
4100,2019-06-18 21:59:21.031036,4100,0.05955598,0.9818
4200,2019-06-18 21:59:22.594293,4200,0.059017736,0.9817
4300,2019-06-18 21:59:24.154030,4300,0.057404015,0.9824
4400,2019-06-18 21:59:25.715355,4400,0.056637194,0.9829
4500,2019-06-18 21:59:27.275830,4500,0.056486327,0.9828
4600,2019-06-18 21:59:28.842235,4600,0.05713772,0.9823
4700,2019-06-18 21:59:30.402468,4700,0.056542695,0.9827
4800,2019-06-18 21:59:31.971580,4800,0.05771354,0.9824
4900,2019-06-18 21:59:33.530223,4900,0.05590693,0.9829
5000,2019-06-18 21:59:35.092428,5000,0.056790233,0.9827
5100,2019-06-18 21:59:36.652299,5100,0.056903813,0.9824
5200,2019-06-18 21:59:38.309725,5200,0.055814013,0.983
5300,2019-06-18 21:59:39.876701,5300,0.05513712,0.9827
5400,2019-06-18 21:59:41.438518,5400,0.056087665,0.9827
5500,2019-06-18 21:59:43.002606,5500,0.055517785,0.983
5600,2019-06-18 21:59:44.570454,5600,0.054608703,0.984
5700,2019-06-18 21:59:46.131117,5700,0.054152552,0.9836
5800,2019-06-18 21:59:47.696428,5800,0.054632775,0.9833
5900,2019-06-18 21:59:49.263333,5900,0.053697992,0.9838
