,datetime,loss,accuracy
0,2019-07-04 22:21:27.292419,2.465648,12.649999558925629
1000,2019-07-04 22:21:57.523330,0.9766288,64.99000191688538
2000,2019-07-04 22:22:26.931672,0.76826847,73.79000186920166
3000,2019-07-04 22:22:56.302700,0.65427077,77.54999995231628
4000,2019-07-04 22:23:25.876680,0.6192142,79.07999753952026
5000,2019-07-04 22:23:55.208664,0.5748915,80.44999837875366
6000,2019-07-04 22:24:24.745048,0.5385927,81.3599944114685
7000,2019-07-04 22:24:54.211122,0.5437553,81.74999952316284
8000,2019-07-04 22:25:23.517855,0.5321515,81.90000653266907
9000,2019-07-04 22:25:53.044735,0.4872016,83.63999128341675
10000,2019-07-04 22:26:22.373268,0.49936175,82.79999494552612
11000,2019-07-04 22:26:51.823419,0.46241388,84.14999842643738
12000,2019-07-04 22:27:21.306437,0.47379836,84.02999639511108
13000,2019-07-04 22:27:50.842177,0.45801583,84.44000482559204
14000,2019-07-04 22:28:20.134884,0.46267113,84.16000604629517
15000,2019-07-04 22:28:49.687887,0.45485955,84.3999981880188
16000,2019-07-04 22:29:19.281180,0.45321482,84.46999788284302
17000,2019-07-04 22:29:48.639789,0.4472968,84.94000434875488
18000,2019-07-04 22:30:18.036902,0.4279592,85.32999753952026
19000,2019-07-04 22:30:47.387092,0.44375402,85.0100040435791
20000,2019-07-04 22:31:16.857918,0.42642576,85.7200026512146
21000,2019-07-04 22:31:46.313623,0.4344863,85.57999730110168
22000,2019-07-04 22:32:15.895555,0.43312234,85.51999926567078
23000,2019-07-04 22:32:45.168824,0.42140523,85.4699969291687
24000,2019-07-04 22:33:14.662633,0.42308226,85.41000485420227
25000,2019-07-04 22:33:44.055016,0.4193244,85.48000454902649
26000,2019-07-04 22:34:13.683228,0.4191049,85.65000295639038
27000,2019-07-04 22:34:43.160012,0.4103059,86.11999750137329
28000,2019-07-04 22:35:12.460053,0.42111763,85.83999872207642
29000,2019-07-04 22:35:42.042495,0.39535707,86.54000163078308
30000,2019-07-04 22:36:11.386952,0.4135341,86.0700011253357
31000,2019-07-04 22:36:40.746758,0.41581455,85.76000332832336
32000,2019-07-04 22:37:10.162341,0.41842356,86.09000444412231
33000,2019-07-04 22:37:39.407085,0.33315367,88.80000114440918
34000,2019-07-04 22:38:08.990181,0.33398542,88.88000249862671
35000,2019-07-04 22:38:38.333757,0.33700195,88.62999677658081
36000,2019-07-04 22:39:07.740957,0.33922514,88.85999917984009
37000,2019-07-04 22:39:37.161247,0.33951822,88.68999481201172
38000,2019-07-04 22:40:06.587474,0.34225348,88.66000175476074
39000,2019-07-04 22:40:36.026672,0.34224176,88.71999979019165
40000,2019-07-04 22:41:05.436087,0.3490536,88.55000734329224
41000,2019-07-04 22:41:34.998249,0.34850568,88.58999013900757
42000,2019-07-04 22:42:04.399815,0.35450277,88.58000040054321
43000,2019-07-04 22:42:33.776689,0.34735736,88.80999684333801
44000,2019-07-04 22:43:03.341228,0.3490965,88.85999917984009
45000,2019-07-04 22:43:32.990096,0.35028556,88.59999775886536
46000,2019-07-04 22:44:02.457891,0.35368153,88.6400043964386
47000,2019-07-04 22:44:31.875074,0.35272545,88.81999850273132
48000,2019-07-04 22:45:01.353328,0.35364786,88.69999647140503
49000,2019-07-04 22:45:30.721524,0.35743994,88.83999586105347
