,datetime,loss,accuracy
0,2019-05-27 19:13:41.181073,2.3358212,8.859999477863312
1000,2019-05-27 19:14:11.561194,0.871147,68.85000467300415
2000,2019-05-27 19:14:41.124875,0.7223254,75.12999773025513
3000,2019-05-27 19:15:10.747245,0.68707204,76.28999948501587
4000,2019-05-27 19:15:40.496883,0.6289266,78.71999740600586
5000,2019-05-27 19:16:09.912071,0.5527558,81.13999366760254
6000,2019-05-27 19:16:39.445659,0.59091973,79.91000413894653
7000,2019-05-27 19:17:09.024850,0.5352009,81.23999834060669
8000,2019-05-27 19:17:38.756560,0.53031886,81.91999197006226
9000,2019-05-27 19:18:08.375920,0.5228572,82.35000371932983
10000,2019-05-27 19:18:38.018435,0.51187253,82.11000561714172
11000,2019-05-27 19:19:07.440041,0.5368739,81.52999877929688
12000,2019-05-27 19:19:36.827445,0.5475761,81.26000165939331
13000,2019-05-27 19:20:06.284458,0.525806,81.89999461174011
14000,2019-05-27 19:20:35.668351,0.5086805,82.34000205993652
15000,2019-05-27 19:21:05.223559,0.5186716,82.28999972343445
16000,2019-05-27 19:21:34.898671,0.50259864,82.77000188827515
17000,2019-05-27 19:22:04.404657,0.4861024,83.53999853134155
18000,2019-05-27 19:22:33.872198,0.5201095,82.70999789237976
19000,2019-05-27 19:23:03.402845,0.50481415,82.74999856948853
20000,2019-05-27 19:23:32.843481,0.49345073,83.28999280929565
21000,2019-05-27 19:24:02.439507,0.46280345,84.49999690055847
22000,2019-05-27 19:24:32.078408,0.5224455,81.94000124931335
23000,2019-05-27 19:25:01.656010,0.4964324,83.05000066757202
24000,2019-05-27 19:25:31.181036,0.49857602,82.74000287055969
25000,2019-05-27 19:26:00.897072,0.49717703,83.17000269889832
26000,2019-05-27 19:26:30.288430,0.49094486,83.35000276565552
27000,2019-05-27 19:27:00.011696,0.5009651,83.14000368118286
28000,2019-05-27 19:27:29.675343,0.4929064,82.91999697685242
29000,2019-05-27 19:27:59.309059,0.4892907,83.16999673843384
30000,2019-05-27 19:28:28.920111,0.46936902,83.77000093460083
31000,2019-05-27 19:28:58.543740,0.47078162,84.13999676704407
32000,2019-05-27 19:29:28.145620,0.49946815,82.9300045967102
33000,2019-05-27 19:29:57.575680,0.36358637,87.77999877929688
34000,2019-05-27 19:30:27.199426,0.35833272,87.8100037574768
35000,2019-05-27 19:30:56.773736,0.36130592,88.23000192642212
36000,2019-05-27 19:31:26.287507,0.35765773,88.06999921798706
37000,2019-05-27 19:31:55.896898,0.360519,87.88000345230103
38000,2019-05-27 19:32:25.370024,0.36037153,88.05999755859375
39000,2019-05-27 19:32:55.001201,0.36427492,87.98999786376953
40000,2019-05-27 19:33:24.520089,0.35389903,88.24999928474426
41000,2019-05-27 19:33:54.152892,0.36449334,88.14999461174011
42000,2019-05-27 19:34:23.517497,0.36908686,87.99999952316284
43000,2019-05-27 19:34:53.236538,0.36649352,88.02000284194946
44000,2019-05-27 19:35:22.728011,0.36406633,87.58000135421753
45000,2019-05-27 19:35:52.416778,0.37515894,87.66999244689941
46000,2019-05-27 19:36:21.929535,0.36546677,87.73000836372375
47000,2019-05-27 19:36:51.389372,0.36605838,87.909996509552
48000,2019-05-27 19:37:21.074643,0.3657049,87.84000277519226
49000,2019-05-27 19:37:50.637336,0.33625215,88.80000114440918
