,datetime,loss,accuracy
0,2019-07-05 01:29:10.189886,2.3869176,8.60999971628189
1000,2019-07-05 01:29:40.204578,1.0689499,61.81000471115112
2000,2019-07-05 01:30:09.252662,0.8176789,71.61999940872192
3000,2019-07-05 01:30:38.174589,0.7238736,75.1800000667572
4000,2019-07-05 01:31:07.258800,0.6507764,77.59000062942505
5000,2019-07-05 01:31:36.323078,0.60875833,79.05000448226929
6000,2019-07-05 01:32:05.512314,0.5821739,80.01999855041504
7000,2019-07-05 01:32:34.642666,0.5453521,81.32999539375305
8000,2019-07-05 01:33:03.825312,0.5382718,81.84000253677368
9000,2019-07-05 01:33:32.984270,0.52449405,82.30000734329224
10000,2019-07-05 01:34:01.976701,0.50789654,83.40999484062195
11000,2019-07-05 01:34:31.064606,0.5067441,83.1000030040741
12000,2019-07-05 01:35:00.167602,0.5037177,83.21000337600708
13000,2019-07-05 01:35:29.308336,0.47229117,83.70000123977661
14000,2019-07-05 01:35:58.424800,0.47160262,84.11000370979309
15000,2019-07-05 01:36:27.390634,0.45777616,84.71000790596008
16000,2019-07-05 01:36:56.526517,0.45700425,84.34000015258789
17000,2019-07-05 01:37:25.536596,0.43100253,85.53999662399292
18000,2019-07-05 01:37:54.747972,0.4642501,84.47999954223633
19000,2019-07-05 01:38:23.882209,0.4531432,84.76999998092651
20000,2019-07-05 01:38:53.126947,0.469299,84.5300018787384
21000,2019-07-05 01:39:22.303953,0.43889588,85.31000018119812
22000,2019-07-05 01:39:51.561227,0.4374675,84.93000268936157
23000,2019-07-05 01:40:20.702943,0.43251032,85.44999957084656
24000,2019-07-05 01:40:49.851219,0.43131566,85.18999814987183
25000,2019-07-05 01:41:19.044084,0.43324256,85.48000454902649
26000,2019-07-05 01:41:48.319747,0.4277261,85.83999872207642
27000,2019-07-05 01:42:17.658620,0.4258973,85.78999638557434
28000,2019-07-05 01:42:46.736525,0.4283711,85.53000688552856
29000,2019-07-05 01:43:15.904390,0.4223923,85.38999557495117
30000,2019-07-05 01:43:45.104434,0.41297325,86.19999885559082
31000,2019-07-05 01:44:14.294950,0.39890432,86.72999143600464
32000,2019-07-05 01:44:43.548047,0.42936844,85.88000535964966
33000,2019-07-05 01:45:12.747716,0.34091046,88.33999633789062
34000,2019-07-05 01:45:41.896386,0.33917135,88.62999677658081
35000,2019-07-05 01:46:11.047818,0.33982617,88.76999616622925
36000,2019-07-05 01:46:40.302642,0.34213156,88.50000500679016
37000,2019-07-05 01:47:09.402429,0.34684995,88.81999850273132
38000,2019-07-05 01:47:38.557186,0.35008797,88.63999247550964
39000,2019-07-05 01:48:07.603725,0.35403934,88.51000666618347
40000,2019-07-05 01:48:36.790875,0.3543033,88.71999979019165
41000,2019-07-05 01:49:06.080563,0.35367,88.60999941825867
42000,2019-07-05 01:49:35.323873,0.36074138,88.37000131607056
43000,2019-07-05 01:50:04.698356,0.35902014,88.58000040054321
44000,2019-07-05 01:50:33.973195,0.36104813,88.52999806404114
45000,2019-07-05 01:51:03.226218,0.36360592,88.71000409126282
46000,2019-07-05 01:51:32.393304,0.3699141,88.2900059223175
47000,2019-07-05 01:52:01.767507,0.3711236,88.41999173164368
48000,2019-07-05 01:52:30.943372,0.37034744,88.62999677658081
49000,2019-07-05 01:53:00.084085,0.37779123,88.35999369621277
