,datetime,loss,accuracy
0,2019-05-28 14:23:02.251304,2.3596556,10.010000318288803
1000,2019-05-28 14:23:31.777098,1.330638,51.3200044631958
2000,2019-05-28 14:24:00.721390,1.1009992,59.7800076007843
3000,2019-05-28 14:24:29.776483,0.93630695,65.81000089645386
4000,2019-05-28 14:24:58.530793,0.8265363,70.34000158309937
5000,2019-05-28 14:25:27.540415,0.7554007,73.00999760627747
6000,2019-05-28 14:25:56.497475,0.7360322,74.40000176429749
7000,2019-05-28 14:26:25.629674,0.6546289,77.27000117301941
8000,2019-05-28 14:26:54.767183,0.60463834,79.11999821662903
9000,2019-05-28 14:27:23.766227,0.583741,80.07000088691711
10000,2019-05-28 14:27:52.660377,0.59297353,80.1300048828125
11000,2019-05-28 14:28:21.990247,0.5553674,80.79999685287476
12000,2019-05-28 14:28:51.166095,0.54145646,81.45000338554382
13000,2019-05-28 14:29:20.181730,0.5290133,81.91999197006226
14000,2019-05-28 14:29:49.076793,0.5074086,82.88999795913696
15000,2019-05-28 14:30:18.155489,0.5192925,82.479989528656
16000,2019-05-28 14:30:47.263134,0.48995242,83.22000503540039
17000,2019-05-28 14:31:16.319027,0.49814224,83.160001039505
18000,2019-05-28 14:31:45.284419,0.48207378,83.84000062942505
19000,2019-05-28 14:32:14.128967,0.51374596,82.4899971485138
20000,2019-05-28 14:32:43.101469,0.47591466,84.16999578475952
21000,2019-05-28 14:33:12.060348,0.486579,83.67999792098999
22000,2019-05-28 14:33:41.171535,0.47836027,83.84000062942505
23000,2019-05-28 14:34:10.223206,0.48312697,83.56999158859253
24000,2019-05-28 14:34:39.267091,0.47192636,84.49999690055847
25000,2019-05-28 14:35:08.205891,0.440655,85.03999710083008
26000,2019-05-28 14:35:37.325126,0.44111067,85.2199912071228
27000,2019-05-28 14:36:06.450221,0.43420416,85.43000221252441
28000,2019-05-28 14:36:35.441791,0.43308935,85.3600025177002
29000,2019-05-28 14:37:04.248196,0.4448754,85.14000177383423
30000,2019-05-28 14:37:32.827395,0.4518252,84.65999364852905
31000,2019-05-28 14:38:01.797445,0.43289748,85.60999631881714
32000,2019-05-28 14:38:30.876532,0.41361517,85.78000068664551
33000,2019-05-28 14:38:59.911729,0.31225455,89.25999402999878
34000,2019-05-28 14:39:29.040590,0.31359905,89.18999433517456
35000,2019-05-28 14:39:58.018331,0.3208507,89.08001184463501
36000,2019-05-28 14:40:27.211940,0.31922215,89.14999961853027
37000,2019-05-28 14:40:56.128113,0.32473567,89.07999992370605
38000,2019-05-28 14:41:25.117827,0.31945983,89.11999464035034
39000,2019-05-28 14:41:54.039408,0.3259566,89.08999562263489
40000,2019-05-28 14:42:22.944287,0.33269572,88.99999856948853
41000,2019-05-28 14:42:51.981812,0.3383956,88.95000219345093
42000,2019-05-28 14:43:20.935662,0.33960012,88.90000581741333
43000,2019-05-28 14:43:50.026966,0.33228117,89.2799973487854
44000,2019-05-28 14:44:18.751937,0.3315095,89.30000066757202
45000,2019-05-28 14:44:47.700510,0.33329064,89.30999636650085
46000,2019-05-28 14:45:16.756913,0.33388543,89.30000066757202
47000,2019-05-28 14:45:45.787311,0.33586833,89.28000330924988
48000,2019-05-28 14:46:14.787139,0.33546376,89.27000164985657
49000,2019-05-28 14:46:43.678249,0.3350115,89.30000066757202
