,datetime,loss,accuracy
0,2019-07-03 23:44:04.444314,2.438608,8.810000121593475
1000,2019-07-03 23:47:07.681160,0.81932276,71.34000062942505
2000,2019-07-03 23:50:09.623666,0.64759487,77.7899980545044
3000,2019-07-03 23:53:11.691359,0.56050843,80.97000122070312
4000,2019-07-03 23:56:13.784869,0.50189966,82.66000747680664
5000,2019-07-03 23:59:15.565189,0.45269942,84.90999937057495
6000,2019-07-04 00:02:17.649785,0.4584427,84.63000059127808
7000,2019-07-04 00:05:19.346560,0.4269093,85.54999232292175
8000,2019-07-04 00:08:21.431950,0.434642,85.15000343322754
9000,2019-07-04 00:11:23.334299,0.43486935,85.38999557495117
10000,2019-07-04 00:14:25.299383,0.40581894,86.19000315666199
11000,2019-07-04 00:17:27.353330,0.4125905,85.69999933242798
12000,2019-07-04 00:20:29.089834,0.4016447,86.88000440597534
13000,2019-07-04 00:23:31.061829,0.40256262,86.44000291824341
14000,2019-07-04 00:26:32.934680,0.3774579,87.1500015258789
15000,2019-07-04 00:29:34.922971,0.39653236,86.8899941444397
16000,2019-07-04 00:32:36.821419,0.3849305,87.30999231338501
17000,2019-07-04 00:35:38.722931,0.38538486,87.43000030517578
18000,2019-07-04 00:38:40.820776,0.39951104,86.9599997997284
19000,2019-07-04 00:41:42.726908,0.36274856,88.22000622749329
20000,2019-07-04 00:44:44.664061,0.3989184,87.30000257492065
21000,2019-07-04 00:47:46.477755,0.38848868,87.43999600410461
22000,2019-07-04 00:50:48.291258,0.34693056,88.9299988746643
23000,2019-07-04 00:53:50.232169,0.36771035,88.31999897956848
24000,2019-07-04 00:56:52.214459,0.3649728,88.2699966430664
25000,2019-07-04 00:59:54.225060,0.38293356,87.65999674797058
26000,2019-07-04 01:02:56.098305,0.3564914,88.53999972343445
27000,2019-07-04 01:05:58.168125,0.37054688,88.33000063896179
28000,2019-07-04 01:08:59.976441,0.3773536,87.81999349594116
29000,2019-07-04 01:12:02.029920,0.37959522,88.2900059223175
30000,2019-07-04 01:15:03.948267,0.3726656,87.97000050544739
31000,2019-07-04 01:18:06.009523,0.35824305,88.35999369621277
32000,2019-07-04 01:21:08.017299,0.35233662,88.9299988746643
33000,2019-07-04 01:24:09.961399,0.29270142,90.6000018119812
34000,2019-07-04 01:27:12.138826,0.2876402,90.85000157356262
35000,2019-07-04 01:30:13.953546,0.28746554,90.89000821113586
36000,2019-07-04 01:33:16.012923,0.28887323,91.07000231742859
37000,2019-07-04 01:36:18.050320,0.29133537,91.22999906539917
38000,2019-07-04 01:39:19.754461,0.2949895,91.21999740600586
39000,2019-07-04 01:42:21.562275,0.2946606,91.239994764328
40000,2019-07-04 01:45:23.566408,0.29929212,91.14999771118164
41000,2019-07-04 01:48:25.455318,0.30012125,91.21000170707703
42000,2019-07-04 01:51:27.587289,0.30210882,91.37999415397644
43000,2019-07-04 01:54:29.568376,0.30433622,91.33000373840332
44000,2019-07-04 01:57:31.607100,0.30510587,91.21000170707703
45000,2019-07-04 02:00:33.699752,0.3067742,91.239994764328
46000,2019-07-04 02:03:35.494208,0.30754527,91.25000834465027
47000,2019-07-04 02:06:37.525842,0.31045097,91.29999876022339
48000,2019-07-04 02:09:39.742383,0.31249624,91.34000539779663
49000,2019-07-04 02:12:41.811231,0.31282115,91.239994764328
