,datetime,loss,accuracy
0,2019-06-22 10:49:59.101754,2.357292,11.489999294281006
1000,2019-06-22 10:50:11.639879,0.9004952,68.15999746322632
2000,2019-06-22 10:50:24.071677,0.76458883,73.33999872207642
3000,2019-06-22 10:50:36.392308,0.73401153,74.4599997997284
4000,2019-06-22 10:50:48.840345,0.70760983,75.62999725341797
5000,2019-06-22 10:51:01.337990,0.69284016,76.84000134468079
6000,2019-06-22 10:51:13.907434,0.7057515,75.59999823570251
7000,2019-06-22 10:51:26.260848,0.6554302,77.27000117301941
8000,2019-06-22 10:51:38.684282,0.6742251,76.86000466346741
9000,2019-06-22 10:51:51.107872,0.6498312,78.15999984741211
10000,2019-06-22 10:52:03.543082,0.63280666,78.72000336647034
11000,2019-06-22 10:52:15.968857,0.61712307,78.75999808311462
12000,2019-06-22 10:52:28.341171,0.63329107,78.67000102996826
13000,2019-06-22 10:52:40.707519,0.5638379,80.44999837875366
14000,2019-06-22 10:52:53.136051,0.5811431,80.55999875068665
15000,2019-06-22 10:53:05.514774,0.564611,80.76000213623047
16000,2019-06-22 10:53:17.946294,0.60530066,79.53000068664551
17000,2019-06-22 10:53:30.391398,0.5868222,80.07000088691711
18000,2019-06-22 10:53:42.854943,0.5909218,80.239999294281
19000,2019-06-22 10:53:55.210226,0.56664306,80.83999752998352
20000,2019-06-22 10:54:07.615249,0.5662443,80.93000650405884
21000,2019-06-22 10:54:19.826124,0.5794011,80.37999868392944
22000,2019-06-22 10:54:32.190573,0.5747544,80.62999844551086
23000,2019-06-22 10:54:44.403075,0.5636002,80.82998991012573
24000,2019-06-22 10:54:56.799217,0.56318456,80.55000305175781
25000,2019-06-22 10:55:09.136760,0.5480548,81.7099928855896
26000,2019-06-22 10:55:21.420913,0.54332256,81.42999410629272
27000,2019-06-22 10:55:33.798799,0.54881394,81.54000043869019
28000,2019-06-22 10:55:45.975016,0.5502173,81.98000192642212
29000,2019-06-22 10:55:58.250230,0.56342113,81.21000528335571
30000,2019-06-22 10:56:10.442088,0.5610713,81.10000491142273
31000,2019-06-22 10:56:22.667362,0.5488218,81.72000050544739
32000,2019-06-22 10:56:34.829898,0.5365623,81.96999430656433
33000,2019-06-22 10:56:46.826981,0.55546796,81.41000866889954
34000,2019-06-22 10:56:58.903735,0.5545522,81.41000866889954
