,datetime,loss,accuracy
0,2019-06-21 10:35:48.689111,2.341638,10.439999401569366
1000,2019-06-21 10:36:00.603560,0.94448245,67.05000400543213
2000,2019-06-21 10:36:12.339079,0.8009736,72.26999998092651
3000,2019-06-21 10:36:24.176228,0.7277292,75.10000467300415
4000,2019-06-21 10:36:36.101387,0.6944013,76.05999708175659
5000,2019-06-21 10:36:47.928639,0.69942904,76.26000046730042
6000,2019-06-21 10:36:59.962413,0.70633703,76.4299988746643
7000,2019-06-21 10:37:11.861241,0.70506495,75.83999633789062
8000,2019-06-21 10:37:23.723150,0.6658119,77.20999717712402
9000,2019-06-21 10:37:35.586975,0.6774622,77.54999995231628
10000,2019-06-21 10:37:47.521975,0.71552384,75.84999203681946
11000,2019-06-21 10:37:59.562229,0.61784196,79.26999926567078
12000,2019-06-21 10:38:11.382758,0.65988076,78.03000211715698
13000,2019-06-21 10:38:23.390100,0.58316076,80.47000765800476
14000,2019-06-21 10:38:35.381567,0.5981749,79.6999990940094
15000,2019-06-21 10:38:47.242753,0.599223,79.71000075340271
16000,2019-06-21 10:38:59.056018,0.59428734,80.1099956035614
17000,2019-06-21 10:39:10.948726,0.5838388,80.41000366210938
18000,2019-06-21 10:39:22.886901,0.5707622,80.90999722480774
19000,2019-06-21 10:39:34.857948,0.59843904,79.92000579833984
20000,2019-06-21 10:39:46.779637,0.5822624,80.34999966621399
21000,2019-06-21 10:39:58.565885,0.56360894,80.70999383926392
22000,2019-06-21 10:40:10.578691,0.579803,80.27000427246094
23000,2019-06-21 10:40:22.327517,0.5884503,80.4900050163269
24000,2019-06-21 10:40:34.310316,0.5845357,80.21999597549438
25000,2019-06-21 10:40:46.372149,0.5320319,81.88999891281128
26000,2019-06-21 10:40:58.193411,0.53441495,82.0199966430664
27000,2019-06-21 10:41:10.073374,0.5319578,82.0400059223175
28000,2019-06-21 10:41:22.017422,0.5304019,82.19000101089478
29000,2019-06-21 10:41:34.005078,0.5320292,82.15999603271484
30000,2019-06-21 10:41:45.804451,0.5305447,82.0400059223175
31000,2019-06-21 10:41:57.731781,0.5295835,82.09999799728394
32000,2019-06-21 10:42:09.598349,0.53425664,82.08000063896179
33000,2019-06-21 10:42:21.422315,0.53003377,82.22000002861023
34000,2019-06-21 10:42:33.376816,0.5307752,82.20000267028809
