,datetime,loss,accuracy
0,2019-06-21 23:53:01.662737,2.336611,11.339999735355377
1000,2019-06-21 23:53:34.501550,1.0240616,63.44999670982361
2000,2019-06-21 23:54:07.013805,0.8446019,70.62999606132507
3000,2019-06-21 23:54:39.529978,0.7484492,73.87000322341919
4000,2019-06-21 23:55:12.153313,0.69939244,75.99999904632568
5000,2019-06-21 23:55:44.518842,0.7011087,76.17000341415405
6000,2019-06-21 23:56:17.068088,0.69493383,76.4799952507019
7000,2019-06-21 23:56:49.695816,0.68622315,77.0799994468689
8000,2019-06-21 23:57:22.263648,0.66393024,77.82000303268433
9000,2019-06-21 23:57:54.757143,0.6375894,78.93000841140747
10000,2019-06-21 23:58:27.216880,0.68247044,77.7999997138977
11000,2019-06-21 23:58:59.707273,0.65083146,78.2099962234497
12000,2019-06-21 23:59:32.094361,0.64004683,78.59999537467957
13000,2019-06-22 00:00:04.807139,0.55218303,81.45000338554382
14000,2019-06-22 00:00:37.373558,0.5487145,81.92999958992004
15000,2019-06-22 00:01:09.866226,0.5474456,81.96999430656433
16000,2019-06-22 00:01:42.434603,0.54415524,81.89999461174011
17000,2019-06-22 00:02:15.063785,0.5442215,82.08000063896179
18000,2019-06-22 00:02:47.713853,0.5451666,82.08999633789062
19000,2019-06-22 00:03:20.328728,0.5594357,81.37999773025513
20000,2019-06-22 00:03:52.996207,0.5493018,81.99999928474426
21000,2019-06-22 00:04:25.486002,0.55101097,81.659996509552
22000,2019-06-22 00:04:58.159850,0.5518999,81.71000480651855
23000,2019-06-22 00:05:30.549295,0.5446665,82.13000297546387
24000,2019-06-22 00:06:03.123306,0.54697603,82.15000033378601
25000,2019-06-22 00:06:35.782674,0.5353057,82.50999450683594
26000,2019-06-22 00:07:08.198730,0.53152865,82.70000219345093
27000,2019-06-22 00:07:40.764488,0.5293499,82.7299952507019
28000,2019-06-22 00:08:13.260669,0.5279726,82.92999267578125
29000,2019-06-22 00:08:45.793055,0.52648413,82.81000256538391
30000,2019-06-22 00:09:18.188284,0.5254058,82.82999992370605
31000,2019-06-22 00:09:50.664454,0.52457595,82.80000686645508
32000,2019-06-22 00:10:23.362017,0.5243205,82.85999298095703
33000,2019-06-22 00:10:55.763610,0.52355766,82.83999562263489
34000,2019-06-22 00:11:28.448561,0.52329934,82.81999826431274
